Date,Demographic Factors ,Demographic Level,Strongly positive impact,Somewhat positive impact,No impact,Somewhat negative impact,Very negative impact
5.3.25,National,National,4.8,9.1,70.9,11.3,3.9
5.3.25,Politics,Democrat,4.4,8.6,72.5,10.9,3.5
5.3.25,Politics,Independent,2.7,5.6,81.9,7.8,2.1
5.3.25,Politics,Republican,6.2,11.4,63.8,13.4,5.2
5.3.25,Age,18-24,4.4,8.6,72.6,10.8,3.6
5.3.25,Age,25-34,4.7,9.1,71.1,11.3,3.9
5.3.25,Age,35-44,4.9,9.4,70.1,11.5,4.0
5.3.25,Age,45-54,5.4,10.1,68.0,12.1,4.5
5.3.25,Age,55-64,5.2,9.8,68.9,11.9,4.3
5.3.25,Age,65+,4.4,8.4,73.0,10.7,3.5
5.3.25,Sex,Female,4.9,9.3,70.4,11.4,4.0
5.3.25,Sex,Gender Expansive,7.2,12.6,60.0,14.0,6.2
5.3.25,Sex,Male,4.7,9.0,71.4,11.1,3.8
5.3.25,Ethnicity,African American,4.9,9.4,70.0,11.6,4.0
5.3.25,Ethnicity,Asian,4.0,7.8,75.0,10.1,3.2
5.3.25,Ethnicity,Hispanic,6.5,11.7,62.8,13.4,5.6
5.3.25,Ethnicity,White,4.6,8.8,71.9,11.0,3.7
5.3.25,Education,College,5.6,10.4,66.8,12.4,4.7
5.3.25,Education,No College,4.4,8.5,72.9,10.7,3.5
5.3.25,Urbanicity,Rural,4.8,9.1,71.0,11.3,3.9
5.3.25,Urbanicity,Suburban,4.4,8.5,72.9,10.7,3.5
5.3.25,Urbanicity,Urban,5.4,10.0,68.1,12.1,4.4
3.2.25,National,National,4.7,8.0,67.8,14.6,4.9
3.2.25,Politics,Democrat,4.9,8.3,66.6,14.9,5.2
3.2.25,Politics,Independent,3.8,6.6,73.0,12.7,3.9
3.2.25,Politics,Republican,4.9,8.3,66.6,15.1,5.1
3.2.25,Age,18-24,6.0,9.8,61.3,16.5,6.5
3.2.25,Age,25-34,5.3,8.8,64.8,15.5,5.6
3.2.25,Age,35-44,4.0,6.9,71.9,13.2,4.1
3.2.25,Age,45-54,4.9,8.4,66.5,15.0,5.2
3.2.25,Age,55-64,5.4,9.0,64.2,15.8,5.7
3.2.25,Age,65+,4.4,7.6,69.4,14.1,4.5
3.2.25,Sex,Female,4.5,7.7,68.9,14.2,4.7
3.2.25,Sex,Gender Expansive,5.0,8.5,66.0,15.2,5.3
3.2.25,Sex,Male,4.9,8.3,66.6,15.0,5.2
3.2.25,Ethnicity,African American,5.5,9.2,63.6,16.0,5.8
3.2.25,Ethnicity,Asian,4.4,7.6,69.3,14.2,4.5
3.2.25,Ethnicity,Hispanic,7.5,11.7,54.1,18.4,8.3
3.2.25,Ethnicity,White,4.2,7.4,70.2,13.9,4.3
3.2.25,Education,College,4.5,7.7,68.9,14.2,4.6
3.2.25,Education,No College,4.8,8.2,67.2,14.7,5.1
3.2.25,Urbanicity,Rural,4.5,7.7,68.9,14.3,4.6
3.2.25,Urbanicity,Suburban,4.3,7.4,70.2,13.8,4.4
3.2.25,Urbanicity,Urban,5.5,9.2,63.4,15.9,5.9
13.1.25,National,National,1.2,4.4,82.7,9.4,2.3
13.1.25,Politics,Democrat,0.7,2.7,88.9,6.4,1.3
13.1.25,Politics,Independent,1.0,3.9,84.4,8.7,1.9
13.1.25,Politics,Republican,1.8,6.6,75.0,13.2,3.5
13.1.25,Age,18-24,1.4,5.2,79.9,10.8,2.7
13.1.25,Age,25-34,1.1,4.2,83.4,9.1,2.1
13.1.25,Age,35-44,1.0,3.9,84.8,8.4,1.9
13.1.25,Age,45-54,1.1,4.4,82.9,9.3,2.2
13.1.25,Age,55-64,1.5,5.6,78.4,11.5,3.0
13.1.25,Age,65+,1.1,4.2,83.5,9.1,2.1
13.1.25,Sex,Female,1.0,3.8,85.0,8.3,1.9
13.1.25,Sex,Gender Expansive,0.0,0.0,100.0,0.0,0.0
13.1.25,Sex,Male,1.3,5.1,80.2,10.7,2.7
13.1.25,Ethnicity,African American,1.5,5.5,78.9,11.2,2.9
13.1.25,Ethnicity,Asian,0.9,3.5,86.3,7.6,1.7
13.1.25,Ethnicity,Hispanic,1.3,4.8,81.4,10.0,2.5
13.1.25,Ethnicity,White,1.1,4.3,83.3,9.2,2.2
13.1.25,Education,College,1.5,5.7,78.1,11.6,3.0
13.1.25,Education,No College,1.0,3.8,85.1,8.3,1.9
13.1.25,Urbanicity,Rural,1.1,4.3,83.1,9.3,2.2
13.1.25,Urbanicity,Suburban,1.1,4.2,83.6,9.0,2.1
13.1.25,Urbanicity,Urban,1.3,4.9,81.2,10.1,2.5
17.12.24,National,National,1.6,4.8,77.7,11.3,4.6
17.12.24,Politics,Democrat,0.8,2.6,87.2,7.1,2.3
17.12.24,Politics,Independent,1.1,3.5,83.0,9.2,3.1
17.12.24,Politics,Republican,2.7,7.8,64.4,17.0,8.0
17.12.24,Age,18-24,1.9,5.6,74.1,12.7,5.7
17.12.24,Age,25-34,1.5,4.6,78.7,10.9,4.4
17.12.24,Age,35-44,1.1,3.6,83.1,8.9,3.3
17.12.24,Age,45-54,1.4,4.4,79.5,10.6,4.2
17.12.24,Age,55-64,1.8,5.5,74.8,12.6,5.4
17.12.24,Age,65+,1.7,5.2,75.8,12.1,5.1
17.12.24,Sex,Female,1.4,4.2,80.5,10.1,3.9
17.12.24,Sex,Gender Expansive,1.0,3.1,85.1,8.0,2.8
17.12.24,Sex,Male,1.8,5.5,74.7,12.6,5.4
17.12.24,Ethnicity,African American,2.0,5.9,72.8,13.3,6.1
17.12.24,Ethnicity,Asian,1.0,3.0,85.5,7.8,2.7
17.12.24,Ethnicity,Hispanic,1.5,4.6,78.5,10.9,4.5
17.12.24,Ethnicity,White,1.6,4.7,77.9,11.2,4.6
17.12.24,Education,College,1.5,4.7,78.1,11.1,4.6
