"Date","Demographic.Level","Never","Rarely","Sometimes","Very.often","Always"
"18.3.24","National",46,24,22,7,2
"18.3.24","Female",50,22,21,6,1
"18.3.24","Male",41,25,23,9,2
"18.3.24","18-24",37,23,23,15,3
"18.3.24","25-49",34,28,27,10,2
"18.3.24","50-64",52,23,16,6,3
"18.3.24","65+",59,19,20,2,0
"18.3.24","Asian",24,24,35,15,3
"18.3.24","Black",9,19,57,9,6
"18.3.24","Mixed",19,24,52,4,0
"18.3.24","Other Ethnicity",72,21,5,1,0
"18.3.24","White",50,24,18,7,2
"18.3.24","Brexit Party",39,31,24,6,0
"18.3.24","Conservatives",45,21,24,7,3
"18.3.24","Greens",39,26,21,12,2
"18.3.24","Labour",46,22,23,9,1
"18.3.24","Liberal Democrats",45,34,16,5,0
"18.3.24","Other Party",55,20,25,0,0
"18.3.24","SNP",54,31,9,4,2
"18.3.24","Female 18-24",46,21,22,10,2
"18.3.24","Female 25-49",38,26,27,8,1
"18.3.24","Female 50-64",57,19,14,5,4
"18.3.24","Female 65+",61,20,17,3,0
"18.3.24","Male 18-24",29,24,23,20,4
"18.3.24","Male 25-49",30,29,26,12,3
"18.3.24","Male 50-64",47,26,18,7,2
"18.3.24","Male 65+",56,19,23,1,0
"18.3.24","Female Asian",23,28,32,14,3
"18.3.24","Female Black",12,24,50,7,7
"18.3.24","Female Mixed",16,28,52,4,0
"18.3.24","Female Other",68,24,8,0,0
"18.3.24","Female White",56,21,17,5,1
"18.3.24","Male Asian",25,19,38,16,2
"18.3.24","Male Black",7,15,63,10,5
"18.3.24","Male Mixed",23,20,53,4,0
"18.3.24","Male Other",74,20,4,2,0
"18.3.24","Male White",44,27,18,8,2
"18.3.24","Female Brexit Party",41,33,22,4,0
"18.3.24","Female Conservatives",48,20,23,6,2
"18.3.24","Female Greens",45,26,21,9,0
"18.3.24","Female Labour",51,21,20,7,1
"18.3.24","Female Liberal Democrats",56,25,15,5,0
"18.3.24","Female Other",45,18,37,0,0
"18.3.24","Female SNP",48,33,13,3,2
"18.3.24","Male Brexit Party",38,31,25,7,0
"18.3.24","Male Conservatives",42,22,25,8,4
"18.3.24","Male Greens",33,27,20,15,5
"18.3.24","Male Labour",39,22,26,12,1
"18.3.24","Male Liberal Democrats",36,42,16,6,0
"18.3.24","Male Other",61,22,18,0,0
"18.3.24","Male SNP",59,29,5,5,2
"18.3.24","18-24 Asian",8,17,38,37,0
"18.3.24","18-24 Black",14,26,53,6,0
"18.3.24","18-24 Mixed",26,39,22,12,0
"18.3.24","18-24 Other",50,38,12,0,0
"18.3.24","18-24 White",44,21,18,13,4
"18.3.24","25-49 Asian",26,26,37,10,0
"18.3.24","25-49 Black",9,33,34,16,8
"18.3.24","25-49 Mixed",8,31,55,6,0
"18.3.24","25-49 Other",47,40,10,4,0
"18.3.24","25-49 White",37,27,24,10,2
"18.3.24","50-64 Asian",27,14,32,12,15
"18.3.24","50-64 Black",24,21,21,16,19
"18.3.24","50-64 Mixed",47,29,20,3,0
"18.3.24","50-64 Other",34,54,12,0,0
"18.3.24","50-64 White",56,22,15,5,2
"18.3.24","65+ Asian",31,37,23,9,0
"18.3.24","65+ Black",1,3,96,0,0
"18.3.24","65+ Mixed",18,15,64,2,0
"18.3.24","65+ Other",100,0,0,0,0
"18.3.24","65+ White",65,22,11,2,0
"18.3.24","18-24 Brexit Party",17,76,1,6,0
"18.3.24","18-24 Conservatives",11,20,33,30,6
"18.3.24","18-24 Greens",0,55,0,45,0
"18.3.24","18-24 Labour",44,18,27,7,3
"18.3.24","18-24 Liberal Democrats",47,30,0,23,0
"18.3.24","18-24 Other",57,0,43,0,0
"18.3.24","18-24 SNP",68,32,0,0,0
"18.3.24","25-49 Brexit Party",38,22,19,21,0
"18.3.24","25-49 Conservatives",32,24,31,9,4
"18.3.24","25-49 Greens",37,26,29,5,2
"18.3.24","25-49 Labour",37,25,25,12,1
"18.3.24","25-49 Liberal Democrats",26,43,27,4,0
"18.3.24","25-49 Other",28,37,35,0,0
"18.3.24","25-49 SNP",40,35,12,9,4
"18.3.24","50-64 Brexit Party",43,40,17,0,0
"18.3.24","50-64 Conservatives",53,20,15,6,6
"18.3.24","50-64 Greens",36,24,29,6,5
"18.3.24","50-64 Labour",50,20,21,8,1
"18.3.24","50-64 Liberal Democrats",57,32,5,5,0
"18.3.24","50-64 Other",51,32,17,0,0
"18.3.24","50-64 SNP",60,24,16,0,0
"18.3.24","65+ Brexit Party",39,24,37,0,0
"18.3.24","65+ Conservatives",53,20,24,3,0
"18.3.24","65+ Greens",88,2,3,7,0
"18.3.24","65+ Labour",71,16,12,1,0
"18.3.24","65+ Liberal Democrats",66,22,13,0,0
"18.3.24","65+ Other",85,0,15,0,0
"18.3.24","65+ SNP",72,28,0,0,0
"18.3.24","Asian Brexit Party",39,7,50,4,0
"18.3.24","Asian Conservatives",19,30,29,16,7
"18.3.24","Asian Greens",6,0,73,21,0
"18.3.24","Asian Labour",21,19,44,15,0
"18.3.24","Asian Liberal Democrats",41,26,17,15,0
"18.3.24","Asian Other",0,0,100,0,0
"18.3.24","Asian SNP",63,37,0,0,0
"18.3.24","Black Brexit Party",8,42,49,1,0
"18.3.24","Black Conservatives",5,0,76,8,10
"18.3.24","Black Greens",1,88,11,0,0
"18.3.24","Black Labour",16,14,52,15,3
"18.3.24","Black Liberal Democrats",2,63,35,0,0
"18.3.24","Black Other",82,0,18,0,0
"18.3.24","Black SNP",0,100,0,0,0
"18.3.24","Mixed Brexit Party",72,3,19,6,0
"18.3.24","Mixed Conservatives",5,0,95,0,0
"18.3.24","Mixed Greens",0,0,0,100,0
"18.3.24","Mixed Labour",37,40,17,6,0
"18.3.24","Mixed Liberal Democrats",0,100,0,0,0
"18.3.24","Mixed Other",77,0,23,0,0
"18.3.24","Mixed SNP",73,27,0,0,0
"18.3.24","Other Brexit Party",95,3,0,2,0
"18.3.24","Other Conservatives",78,22,0,0,0
"18.3.24","Other Greens",28,18,54,0,0
"18.3.24","Other Labour",69,13,14,3,0
"18.3.24","Other Liberal Democrats",46,54,0,0,0
"18.3.24","Other Ethnicity Other Party",95,0,5,0,0
"18.3.24","Other SNP",100,0,0,0,0
"18.3.24","White Brexit Party",37,35,21,7,0
"18.3.24","White Conservatives",50,23,18,7,2
"18.3.24","White Greens",47,27,15,8,3
"18.3.24","White Labour",50,22,19,8,1
"18.3.24","White Liberal Democrats",51,29,16,5,0
"18.3.24","White Other",55,25,19,0,0
"18.3.24","White SNP",54,27,11,5,2
"19.2.24","National",46,27,19,6,2
"19.2.24","Female",49,27,18,5,2
"19.2.24","Male",43,27,20,8,2
"19.2.24","18-24",44,20,23,10,4
"19.2.24","25-49",36,27,25,9,3
"19.2.24","50-64",48,23,21,5,1
"19.2.24","65+",57,31,8,3,1
"19.2.24","Asian",25,27,29,10,8
"19.2.24","Black",34,26,17,13,9
"19.2.24","Mixed",34,58,5,0,2
"19.2.24","Other Ethnicity",27,56,16,0,2
"19.2.24","White",50,24,19,6,1
"19.2.24","Brexit Party",44,14,31,9,3
"19.2.24","Conservatives",46,26,18,7,3
"19.2.24","Greens",41,35,21,3,1
"19.2.24","Labour",45,27,21,6,1
"19.2.24","Liberal Democrats",48,30,16,3,3
"19.2.24","Other Party",56,18,23,1,2
"19.2.24","SNP",44,31,14,11,0
"19.2.24","Female 18-24",43,24,22,9,1
"19.2.24","Female 25-49",38,27,24,7,3
"19.2.24","Female 50-64",54,21,18,5,1
"19.2.24","Female 65+",61,30,6,1,1
"19.2.24","Male 18-24",44,15,23,11,7
"19.2.24","Male 25-49",34,27,26,10,3
"19.2.24","Male 50-64",43,26,24,5,2
"19.2.24","Male 65+",54,32,9,5,0
"19.2.24","Female Asian",23,27,30,12,8
"19.2.24","Female Black",36,24,16,11,12
"19.2.24","Female Mixed",23,66,10,0,0
"19.2.24","Female Other",26,51,19,0,4
"19.2.24","Female White",54,24,17,5,1
"19.2.24","Male Asian",27,28,28,9,7
"19.2.24","Male Black",32,27,18,15,7
"19.2.24","Male Mixed",46,50,0,0,4
"19.2.24","Male Other",27,58,14,0,1
"19.2.24","Male White",46,24,21,8,1
"19.2.24","Female Brexit Party",34,21,32,13,0
"19.2.24","Female Conservatives",51,25,16,5,2
"19.2.24","Female Greens",38,43,18,1,0
"19.2.24","Female Labour",47,26,21,6,1
"19.2.24","Female Liberal Democrats",51,29,13,1,6
"19.2.24","Female Other",70,20,9,0,2
"19.2.24","Female SNP",44,34,10,12,0
"19.2.24","Male Brexit Party",49,10,31,6,4
"19.2.24","Male Conservatives",41,27,19,9,3
"19.2.24","Male Greens",43,27,23,5,1
"19.2.24","Male Labour",43,28,21,7,2
"19.2.24","Male Liberal Democrats",44,31,19,5,0
"19.2.24","Male Other",48,17,31,1,3
"19.2.24","Male SNP",43,28,19,10,0
"19.2.24","18-24 Asian",32,16,31,9,11
"19.2.24","18-24 Black",55,15,9,0,20
"19.2.24","18-24 Mixed",42,45,0,0,13
"19.2.24","18-24 Other",17,21,62,0,0
"19.2.24","18-24 White",46,19,22,12,1
"19.2.24","25-49 Asian",28,28,28,8,8
"19.2.24","25-49 Black",12,19,28,23,18
"19.2.24","25-49 Mixed",45,35,20,0,0
"19.2.24","25-49 Other",29,58,6,0,8
"19.2.24","25-49 White",39,27,25,8,1
"19.2.24","50-64 Asian",17,30,42,5,7
"19.2.24","50-64 Black",26,20,20,35,0
"19.2.24","50-64 Mixed",43,57,0,0,0
"19.2.24","50-64 Other",9,50,41,0,0
"19.2.24","50-64 White",53,22,20,4,1
"19.2.24","65+ Asian",14,37,13,30,5
"19.2.24","65+ Black",49,39,10,0,3
"19.2.24","65+ Mixed",25,75,0,0,0
"19.2.24","65+ Other",31,62,6,0,0
"19.2.24","65+ White",65,24,8,3,0
"19.2.24","18-24 Brexit Party",84,0,16,0,0
"19.2.24","18-24 Conservatives",14,11,29,27,19
"19.2.24","18-24 Greens",45,3,51,0,0
"19.2.24","18-24 Labour",41,30,23,6,0
"19.2.24","18-24 Liberal Democrats",95,5,0,0,0
"19.2.24","18-24 Other",79,5,16,0,0
"19.2.24","18-24 SNP",68,0,19,13,0
"19.2.24","25-49 Brexit Party",40,0,23,27,10
"19.2.24","25-49 Conservatives",37,22,26,9,4
"19.2.24","25-49 Greens",41,43,14,2,0
"19.2.24","25-49 Labour",36,29,25,8,2
"19.2.24","25-49 Liberal Democrats",31,34,26,6,3
"19.2.24","25-49 Other",41,22,31,2,4
"19.2.24","25-49 SNP",35,31,18,16,0
"19.2.24","50-64 Brexit Party",41,16,39,4,0
"19.2.24","50-64 Conservatives",49,23,21,5,2
"19.2.24","50-64 Greens",39,28,25,8,0
"19.2.24","50-64 Labour",52,19,22,6,1
"19.2.24","50-64 Liberal Democrats",45,33,18,3,0
"19.2.24","50-64 Other",54,17,25,0,4
"19.2.24","50-64 SNP",35,42,14,9,0
"19.2.24","65+ Brexit Party",43,25,32,0,0
"19.2.24","65+ Conservatives",54,32,9,5,0
"19.2.24","65+ Greens",38,58,0,0,4
"19.2.24","65+ Labour",70,26,4,0,0
"19.2.24","65+ Liberal Democrats",59,29,5,0,6
"19.2.24","65+ Other",67,19,14,0,0
"19.2.24","65+ SNP",55,45,0,0,0
"19.2.24","Asian Brexit Party",0,0,100,0,0
"19.2.24","Asian Conservatives",22,16,35,13,15
"19.2.24","Asian Greens",0,79,21,0,0
"19.2.24","Asian Labour",30,28,29,14,0
"19.2.24","Asian Liberal Democrats",28,40,13,0,19
"19.2.24","Asian Other",0,44,56,0,0
"19.2.24","Asian SNP",43,57,0,0,0
"19.2.24","Black Brexit Party",33,0,22,46,0
"19.2.24","Black Conservatives",30,28,16,12,15
"19.2.24","Black Greens",19,41,0,40,0
"19.2.24","Black Labour",34,30,26,5,4
"19.2.24","Black Liberal Democrats",41,22,14,15,9
"19.2.24","Black Other",89,0,0,11,0
"19.2.24","Black SNP",45,0,0,55,0
"19.2.24","Mixed Brexit Party",15,73,7,4,0
"19.2.24","Mixed Conservatives",31,62,3,0,4
"19.2.24","Mixed Greens",10,89,0,0,0
"19.2.24","Mixed Labour",52,38,11,0,0
"19.2.24","Mixed Liberal Democrats",0,100,0,0,0
"19.2.24","Mixed Other",0,100,0,0,0
"19.2.24","Mixed SNP",91,0,9,0,0
"19.2.24","Other Brexit Party",4,0,86,0,10
"19.2.24","Other Conservatives",3,97,0,0,0
"19.2.24","Other Greens",7,60,33,0,0
"19.2.24","Other Labour",42,15,38,0,5
"19.2.24","Other Liberal Democrats",91,0,4,0,5
"19.2.24","Other Ethnicity Other Party",0,24,76,0,0
"19.2.24","Other SNP",57,38,5,0,0
"19.2.24","White Brexit Party",51,14,24,8,3
"19.2.24","White Conservatives",52,21,18,7,1
"19.2.24","White Greens",49,27,22,1,1
"19.2.24","White Labour",47,27,20,6,1
"19.2.24","White Liberal Democrats",50,28,18,3,1
"19.2.24","White Other",65,13,20,0,3
"19.2.24","White SNP",41,31,18,10,0
"22.1.24","National",45,26,20,7,1
"22.1.24","Female",46,29,18,7,1
"22.1.24","Male",44,24,22,8,2
"22.1.24","18-24",31,26,28,9,4
"22.1.24","25-49",32,30,24,12,2
"22.1.24","50-64",47,31,16,5,1
"22.1.24","65+",64,18,15,2,0
"22.1.24","Asian",24,30,29,14,2
"22.1.24","Black",5,13,56,22,5
"22.1.24","Mixed",76,9,6,7,3
"22.1.24","Other Ethnicity",52,30,18,0,0
"22.1.24","White",47,28,18,6,1
"22.1.24","Brexit Party",54,20,18,2,6
"22.1.24","Conservatives",48,24,20,7,1
"22.1.24","Greens",36,26,29,6,3
"22.1.24","Labour",40,29,23,7,2
"22.1.24","Liberal Democrats",42,35,11,11,0
"22.1.24","Other Party",56,26,14,4,0
"22.1.24","SNP",51,15,27,7,1
