Date,Demographic Factors ,Demographic Level,Much more safe,Somewhat more safe,No change,Somewhat less safe,Much less safe
5.3.25,National,National,8.5,17.3,25.9,22.2,26.1
5.3.25,Politics,Democrat,10.4,9.4,26.5,16.5,37.1
5.3.25,Politics,Independent,8.7,16.4,27.7,23.3,23.9
5.3.25,Politics,Republican,6.2,26.6,24.5,28.2,14.5
5.3.25,Age,18-24,7.6,21.4,25.6,24.5,20.8
5.3.25,Age,25-34,8,20,25.9,23.8,22.4
5.3.25,Age,35-44,8.5,17.6,26.2,22.5,25.2
5.3.25,Age,45-54,7.7,21,25.5,24.3,21.5
5.3.25,Age,55-64,8.3,18.2,25.9,23,24.6
5.3.25,Age,65+,9.1,14.2,26.1,20.3,30.4
5.3.25,Sex,Female,9,15.1,26.2,20.8,28.9
5.3.25,Sex,Gender Expansive,9.6,4.4,18.5,8.8,58.7
5.3.25,Sex,Male,7.9,19.6,25.7,23.7,23
5.3.25,Ethnicity,African American,9,15.5,26.7,21.2,27.7
5.3.25,Ethnicity,Asian,8.9,15.8,26.2,21.2,27.9
5.3.25,Ethnicity,Hispanic,9.4,13.3,26.1,19.3,31.9
5.3.25,Ethnicity,White,8.3,18.2,25.8,22.8,24.9
5.3.25,Education,College,8.3,18.1,25.7,22.6,25.2
5.3.25,Education,No College,8.6,16.9,26,22,26.5
5.3.25,Urbanicity,Rural,8.1,18.4,25.8,23.1,24.5
5.3.25,Urbanicity,Suburban,8.3,18.1,25.8,22.6,25.2
5.3.25,Urbanicity,Urban,9,15.1,26.3,20.8,28.7
3.2.25,National,National,6.9,19.6,28.3,23.6,21.6
3.2.25,Politics,Democrat,8.6,11.8,30.6,19.2,29.8
3.2.25,Politics,Independent,7.7,15.4,30.7,22.5,23.7
3.2.25,Politics,Republican,4.5,30.5,24.5,29.1,11.4
3.2.25,Age,18-24,6.5,21.6,28,24.6,19.3
3.2.25,Age,25-34,7.1,18.9,28.7,23.2,22.2
3.2.25,Age,35-44,6.9,19.8,28.4,23.7,21.2
3.2.25,Age,45-54,7.3,17.5,28.7,22.4,24.1
3.2.25,Age,55-64,6.7,20.3,28,23.9,21
3.2.25,Age,65+,6.7,20.3,28,24,21
3.2.25,Sex,Female,7.3,17.8,28.8,22.6,23.5
3.2.25,Sex,Gender Expansive,8.1,14.2,29.9,20.7,27.1
3.2.25,Sex,Male,6.5,21.7,27.7,24.7,19.6
3.2.25,Ethnicity,African American,7.9,15.2,29.8,21.3,25.9
3.2.25,Ethnicity,Asian,8.1,14.2,29.3,20.2,28.2
3.2.25,Ethnicity,Hispanic,8.3,13.5,29.5,19.8,28.9
3.2.25,Ethnicity,White,6.5,21.4,27.8,24.6,19.6
3.2.25,Education,College,6.8,20.3,28,23.9,21.1
3.2.25,Education,No College,7,19.3,28.4,23.4,21.9
3.2.25,Urbanicity,Rural,6.4,21.9,27.5,24.9,19.3
3.2.25,Urbanicity,Suburban,6.8,20,28.1,23.7,21.3
3.2.25,Urbanicity,Urban,7.5,16.8,29.2,22.1,24.3
13.1.25,National,National,1.7,7.8,39.2,36.3,15.1
13.1.25,Politics,Democrat,1.8,7.2,40.1,35,16
13.1.25,Politics,Independent,1.9,6.3,41.3,32.6,17.9
13.1.25,Politics,Republican,1.5,9.2,37.1,39.5,12.7
13.1.25,Age,18-24,1.2,11.6,33.5,43.6,10.1
13.1.25,Age,25-34,1.8,7.3,40,35.1,15.9
13.1.25,Age,35-44,1.8,7.2,40.1,34.8,16.2
13.1.25,Age,45-54,1.6,8.2,38.6,37.2,14.4
13.1.25,Age,55-64,1.8,7.2,40,34.9,16.1
13.1.25,Age,65+,1.6,8.2,38.6,37.3,14.3
13.1.25,Sex,Female,1.9,6.5,41.1,33.1,17.4
13.1.25,Sex,Gender Expansive,2.5,3.8,43.2,23.5,27
13.1.25,Sex,Male,1.5,9.2,37,39.7,12.6
13.1.25,Ethnicity,African American,1.8,7.2,40.1,34.8,16.1
13.1.25,Ethnicity,Asian,1.6,8.4,38.3,37.6,14.1
13.1.25,Ethnicity,Hispanic,1.7,7.5,39.6,35.6,15.5
13.1.25,Ethnicity,White,1.7,7.9,39,36.5,14.9
13.1.25,Education,College,1.5,9.1,37.3,39.2,12.9
13.1.25,Education,No College,1.8,7.2,40.1,34.8,16.2
13.1.25,Urbanicity,Rural,1.8,7.3,39.9,35.1,16
13.1.25,Urbanicity,Suburban,1.7,7.6,39.5,35.7,15.5
13.1.25,Urbanicity,Urban,1.5,8.6,38,38.3,13.6
17.12.24,National,National,2.2,8.3,42.9,30.8,15.7
17.12.24,Politics,Democrat,2.3,8.1,43.3,30.3,16.1
17.12.24,Politics,Independent,2.6,6.9,44.5,27.5,18.5
17.12.24,Politics,Republican,2.1,9.4,41.7,32.9,14
17.12.24,Age,18-24,1.7,12,38.2,37.3,10.9
17.12.24,Age,25-34,2.3,8.1,43.2,30.6,15.8
17.12.24,Age,35-44,2.4,7.6,43.8,29.3,16.9
17.12.24,Age,45-54,1.8,10.7,40,35.2,12.3
